,Nangang ,Jiantan ,Zhongshan ,Xiaobitan,Zhongxiao Fuxing,Taipei Zoo,Xindian ,Xinbeitou,Dahu Park ,Taipei 101/World Trade Center,Tamsui,Sanchong ,Taipei Main Station,Daan Park,Ximen ,Jiannan Rd. ,Taipei Nangang Exhibition Center,Yuanshan
1,23378,36644,47903,3460,53421,7455,12532,9368,3552,36582,37591,7234,177362,8930,80706,13223,39044,31599
2,18564,38141,50685,3899,51985,11814,16524,14262,3885,31546,42860,7077,176129,11263,92155,14497,29189,41288
3,17211,28851,41937,3552,39443,8846,12041,14891,4590,27724,37524,5956,153056,10620,73518,10437,22169,35616
4,18331,31271,39028,3242,43779,5930,11309,6522,3292,30490,35266,6521,137069,7633,65229,10460,29132,27292
5,18833,32689,40585,3247,45662,6603,11764,6330,3324,30262,34198,6685,134970,7867,66518,10967,31106,28391
6,19289,33660,42332,3220,48076,7746,12199,6445,3653,32299,36845,6940,137744,8301,71765,11715,31615,29022
7,19651,32973,42626,3339,65991,7419,11966,6644,3644,33740,35907,6785,144152,7992,72222,11884,31913,29114
8,25211,37017,49605,4049,76143,8250,12889,7801,3630,39731,38878,7216,188478,9235,85733,12893,46865,31582
9,20872,40088,53422,5299,75728,14056,14947,8970,4786,35328,44976,7716,183515,12699,99580,13786,40199,39918
10,17050,33998,42785,3644,58472,13740,14149,7902,3954,33770,43784,6769,169780,11166,82274,11339,36317,33645
11,20828,34065,41339,3064,63565,7180,12281,5754,3412,33940,36540,6776,142982,7808,72251,11444,44918,28826
12,18818,34383,41074,3320,57433,8159,12550,6440,3634,32815,36005,6869,138863,8325,71195,11652,30380,30492
13,19403,34366,42901,3295,60795,7999,12756,6604,3682,32641,36203,6818,141319,8557,72163,11634,30569,30396
14,19811,34790,43670,3401,58827,7154,11939,6969,3417,32669,34493,6746,148490,8107,74098,11618,31021,32158
15,25724,39172,51214,3584,70330,8335,12944,7453,3837,38000,39582,7468,193006,9532,88588,13997,48287,35422
16,21118,40941,53655,4375,70008,16392,15137,8951,5269,38010,46737,7790,192988,13313,101103,14331,44331,38147
17,18245,35064,43704,3753,56401,14704,14200,8107,4038,32955,47693,6772,183084,11312,84684,11695,38855,32157
18,21410,32781,40340,3596,63397,5803,11433,5767,3198,32859,34923,6902,145568,7599,70119,10699,43514,27757
19,19030,33624,41834,3359,47187,6580,11766,6698,3188,30698,34180,6809,140715,7894,72641,11385,29873,28935
20,19528,33534,43109,3400,48033,6313,11743,6898,3317,31539,35637,6889,143177,8091,72759,11887,30788,29790
21,19914,33718,44252,3536,47173,7033,11953,6986,3333,32986,35271,6871,149197,8188,73800,11583,30259,31220
22,24065,37028,51552,3563,53348,6721,12137,7411,3288,37813,36424,7362,194177,8923,85190,12886,34427,34444
23,18665,37315,53878,3929,50835,11183,13622,10794,3649,35456,40730,7781,188716,11574,93411,14809,28056,37320
24,15749,33220,43906,3604,39745,12424,13051,9314,3756,29204,44336,6329,176895,11327,78927,11582,22151,30195
25,19805,31966,40252,3485,43763,6265,11239,5963,3107,31991,34905,6900,145238,7785,67529,11026,32685,27488
26,19090,34349,41547,3288,44824,7523,11634,6835,3293,31883,35441,6791,139308,8304,69525,11564,30112,29520
27,19653,34678,43229,3412,45875,7694,12103,6826,3439,33144,36681,6946,141673,8401,72538,11458,30595,29737
28,20202,34363,44652,3659,47063,6927,11563,7261,3127,33987,34497,6856,149478,8213,74586,11649,30881,29541
29,23778,38179,52597,3702,52690,7931,12644,8087,4440,42030,40021,7348,191835,9771,86240,13703,32214,34272
30,20899,39284,56876,4186,52270,11642,14031,9090,3602,44413,45255,7221,194806,11590,102789,15836,29858,36515
